DIRT,GRASS,TREE,FIRE,BURNT,FIREMEN ,TURN
1607,45,236,1220,892,38,1000
1652,13,98,1331,906,42,1000
1683,67,273,1052,925,42,1000
1673,44,227,1171,885,42,1000
1658,35,163,1240,904,39,1000
1708,46,252,1084,910,43,1000
1597,117,578,816,892,41,1000
1577,33,170,1302,918,41,1000
1580,41,306,1164,909,42,1000
1701,16,102,1279,902,38,1000
1530,52,276,1248,894,44,1000
1699,270,1378,0,653,46,771
1605,52,246,1223,874,38,1000
1516,42,279,1333,830,40,1000
1506,31,187,1373,903,40,1000
1651,89,482,873,905,45,1000
1574,23,145,1340,918,33,1000
1496,28,120,1455,901,38,1000
1536,27,150,1380,907,33,1000
1489,13,71,1508,919,35,1000
